News,Channel,Country,Date
"Israel wreaked havoc on Gaza, North Gazapur, Israel fired rockets throughout the night.",India news,India,11/02/23
Gaza city echoed with volleys of rockets from Israel's Gazapur attacks.,India news,India,11/02/23
"Hamas launched rocket attack on Israel, fire broke out on the road, huge damage to vehicles and restaurants, Central in Hamas attack",India news,India,11/02/23
"Building collapsed in Iral, building debris spread around",India news,India,11/02/23
"Missile attack on Israel, Israeli fighter jets foiled the attack",India news,India,11/02/23
Many attacks by Israel on Gaza city turned buildings into debris and forced people to stay out of their homes.,India news,India,11/02/23
"Israel is firing rockets on a building in Gaza, work is going on to remove the feces of 15 people in Gaza.",India news,India,11/02/23
Ground action by Israeli troops in Gaza,India news,India,11/02/23
"Israeli tank soldiers bombed in Gaza, big claim of Chief of Israeli Defense Force",India news,India,11/02/23
"Israeli soldiers surrounded Gaza city, it is impossible to escape the terror of Hamas.",India news,India,11/02/23
"Video of tunnel in Gaza released, see inside the tunnel.",India news,India,11/02/23
The fighters of Maas are hiding in the tunnel after the attack targeting the Maas.,India news,India,11/02/23
Terrorist Hamas attacked Israeli tanks. The tank was fired upon. Video released by Hamas military.,India news,India,11/02/23
"Israeli soldiers did war practice in Israeli occupied Gon Heights, tanks fired shells, Israeli soldiers did firing drill",India news,India,11/02/23
"Once again clashes between soldiers and Palestine in the West Bank, arson was carried out at various places, the death toll reached 130.",India news,India,11/02/23
One Palestinian killed in Aravalli Army firing attack in West Bank,India news,India,11/02/23
"Israel's offer to Hamas: According to sources, Hamas should leave the Gaza Strip for its own safety and also raised the demand for the release of guns.",India news,India,11/02/23
"Lebanon's terrorist organization Hibla threatens Israel if attacks on Gaza stop by November 11, otherwise Israel should be ready to face the consequences.",India news,India,11/02/23
"PM Nitin Yahoo boosted the morale of the soldiers that we are moving towards success, the country is proud of the army.",India news,India,11/02/23
"US President suggests agreement between US, Qatar and Israel; Palestinians can leave Gaza Strip with foreign passport",India news,India,11/02/23
Foreign Minister S Shankar's statement on the month called the October 7 attack a major terrorist attack and it is necessary to stand against terrorism.,India news,India,11/02/23
PM Netanyahu did not give any answer on America's suggestion. Israel has previously refused a ceasefire.,India news,India,11/02/23
Jordan called its ambassador from Israel and told UAE's Raj Nayak to stay outside the country.,India news,India,11/02/23
